fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
36.L1.3060.USC3623,0.0,0.0,24,,0,256.0,0.0%,0.0%,0,8.0,,,0,4
36.L1.3060.USC3623D,0.0,0.0,0,,0,77.0,,,0,0.0,,,0,0
36.L1.3060.USC3624,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3625,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3625D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3626,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3627,0.0,0.0,0,,0,70.0,,,0,0.0,,,0,0
36.L1.3060.USC3627D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3628,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3629,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3629D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3630,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3631,77.0,91.0,0,98,258,372.0,,,98,56.0,100.0%,57.1%,49,83
36.L1.3060.USC3631D,0.0,43.0,0,,22,14.0,,,13,14.0,,,15,11
36.L1.3060.USC3632,175.0,0.0,237,,107,84.0,45.1%,35.6%,0,137.0,,,24,83
36.L1.3060.USC3633,0.0,307.0,438,592,154,103.0,35.2%,23.4%,311,248.0,52.5%,41.9%,348,355
36.L1.3060.USC3633D,0.0,8.0,0,,30,3.0,,,2,3.0,,,3,2
36.L1.3060.USC3634,23.0,0.0,0,,7,8.0,,,0,8.0,,,0,0
36.L1.3060.USC3635,352.0,0.0,1612,,133,163.0,8.3%,10.1%,0,655.0,,,0,0
36.L1.3060.USC3635D,16.0,2.0,0,,24,6.0,,,4,6.0,,,2,2
36.L1.3060.USC3636,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3637,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3637D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3638,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3639,199.0,32.0,24,,76,77.0,0.0%,0.0%,61,85.0,,,44,45
36.L1.3060.USC3639D,2.0,8.0,0,,80,3.0,,,3,3.0,,,3,2
36.L1.3060.USC3640,0.0,35.0,0,,36,12.0,,,10,12.0,,,12,9
36.L1.3060.USC3641,618.0,341.0,89,213,308,331.0,0.0%,0.0%,270,349.0,73.2%,36.0%,230,214
