fsku,actual_t10,wma_t10,ma3_t10,acc_wma_t10,acc_ma3_t10,actual_t11,wma_t11,ma3_t11,acc_wma_t11,acc_ma3_t11,actual_t12,final_t12,ma3_t12,acc_final_t12,acc_ma3_t12,actual_t1,final_t1,ma3_t1,acc_final_t1,acc_ma3_t1,final_t2,final_t3,actual_t1_num
05.L1.6060.IP6007,712.0,1710.0,1710.0,0.0,0.0,1802.0,347.0,347.0,19.25638179800222,19.25638179800222,188,1118,843.0,0.0,0.0,6,6,901.0,100.0,0.0,53,116,6
05.L1.6060.USG66001,4572.0,5586.0,5586.0,77.82881306503353,77.82881306503353,4626.0,4984.0,4984.0,92.25392707882982,92.25392707882982,7444,4741,4827.0,63.68887694787748,64.84416980118216,4646,6024,5547.0,70.34007748600948,80.59979911034583,6170,6381,4646
05.L1.6060.USG66002,1812.0,3161.0,3161.0,25.570272259013993,25.570272259013993,3185.0,2311.0,2311.0,72.56933542647829,72.56933542647829,2405,2548,2352.0,94.05405405405405,97.81011781011782,662,2520,2467.0,0.0,0.0,2618,2546,662
05.L1.6060.USG66003,675.0,3917.0,3917.0,0.0,0.0,2067.0,2157.0,2157.0,95.62973713917108,95.62973713917108,1692,1750,1771.0,96.57210401891253,95.31126871552405,3535,1601,1478.0,45.28995756718529,41.81046676096181,1722,1680,3535
05.L1.6060.USG66004,2866.0,3968.0,3968.0,61.53756687601768,61.53756687601768,2995.0,3186.0,3186.0,93.63383416805789,93.63383416805789,4441,2808,2705.0,63.229002476919604,60.9021992043834,3657,3692,3434.0,99.04293136450643,93.90210555099809,3777,3884,3657
05.L1.6060.USG66005,1373.0,2258.0,2258.0,35.542607428987615,35.542607428987615,594.0,2020.0,2020.0,0.0,0.0,2656,1352,1727.0,50.903614457831324,65.02259036144578,3633,1781,1541.0,49.022846132672726,42.4167354803193,1806,1968,3633
05.L1.6060.USG66006,2286.0,3757.0,3757.0,35.651793525809275,35.651793525809275,1953.0,3466.0,3466.0,22.512374125277347,22.512374125277347,3398,2031,2027.0,59.77045320776928,59.66254659603688,3662,2742,2546.0,74.8771163298744,69.51574731476424,2781,2893,3662
05.L1.6060.USG66007,1590.0,3941.0,3941.0,0.0,0.0,1369.0,2573.0,2573.0,12.028244460676884,12.028244460676884,6615,2912,1916.0,44.02116402116402,28.95943562610229,3873,1258,3191.0,32.481280660986315,82.3995180308116,814,1775,3873
05.L1.6060.USG66008,5780.0,4734.0,4734.0,81.90311418685121,81.90311418685121,3958.0,4208.0,4208.0,93.68367862556846,93.68367862556846,4021,4055,3816.0,99.15443919423029,94.9100555417392,793,793,4586.0,100.0,0.0,515,2010,793
05.L1.8080.688001,938.0,816.0,816.0,86.99360341151386,86.99360341151386,1482.0,842.0,842.0,56.792622582096264,56.792622582096264,45,900,964.0,0.0,0.0,182,655,822.0,0.0,0.0,637,524,182
05.L1.8080.688002,189.0,441.0,441.0,0.0,0.0,554.0,303.0,303.0,54.75330926594464,54.75330926594464,852,380,324.0,44.60093896713615,38.02816901408451,214,630,532.0,0.0,0.0,681,700,214
05.L1.8080.688003,1547.0,1885.0,1885.0,78.12971342383108,78.12971342383108,2083.0,2013.0,2013.0,96.65546487437989,96.65546487437989,1899,1792,1688.0,94.36545550289625,88.87133579076706,913,1884,1843.0,0.0,0.0,1928,1909,913
05.L1.8080.688004,578.0,751.0,751.0,70.12687427912341,70.12687427912341,234.0,579.0,579.0,0.0,0.0,362,343,358.0,94.7513812154696,98.89502762430939,836,367,391.0,43.89952153110048,46.81020733652312,339,352,836
05.L1.8080.688005,638.0,958.0,958.0,49.84326018808778,49.84326018808778,886.0,724.0,724.0,81.75319789315274,81.75319789315274,270,894,778.0,0.0,0.0,1163,528,598.0,45.399828030954424,51.41874462596733,522,473,1163
05.L1.8080.688006,44.0,914.0,914.0,0.0,0.0,335.0,154.0,154.0,45.87064676616915,45.87064676616915,725,241,226.0,33.24137931034483,31.218390804597707,361,472,368.0,69.25207756232687,98.06094182825484,520,547,361
05.L1.8080.688007,1131.0,1183.0,1183.0,95.43177129384026,95.43177129384026,182.0,1093.0,1093.0,0.0,0.0,1300,627,766.0,48.23076923076923,58.92307692307692,716,931,871.0,69.97206703910615,78.35195530726257,892,985,716
05.L1.8080.IP8001,1080.0,3400.0,3400.0,0.0,0.0,2754.0,2505.0,2505.0,90.95860566448802,90.95860566448802,196,2500,2367.0,0.0,0.0,6,6,1343.0,100.0,0.0,56,252,6
05.L1.8080.IP8002,388.0,709.0,709.0,17.268041237113408,17.268041237113408,0.0,525.0,525.0,,,0,311,453.0,,,0,0,129.0,,,0,0,0
05.L1.8080.IP8003,0.0,104.0,104.0,,,0.0,0.0,0.0,,,200,0,0.0,0.0,0.0,521,521,67.0,100.0,12.795905310300704,373,400,521
05.L1.8080.IP8004,0.0,255.0,255.0,,,12.0,128.0,128.0,0.0,0.0,435,52,80.0,11.954022988505752,18.467432950191565,65,221,149.0,0.0,0.0,243,275,65
